"orig_address","orig_lat","orig_lng","dest_address","dest_lat","dest_lng","time_text","distance_value","straight_dis","avg_speed"
"Sundre, AB, Canada",51.7972173,-114.6405002,"Cook's Harbour, NL, Canada",51.603697,-55.8708805,"2 days 21 hours",5942.296,3949.86907125225,86.1285534834284
"Bragg Creek, AB, Canada",50.9516847,-114.5691561,"Ste. Agathe, MB R0G, Canada",49.5690845,-97.1840432,"13 hours 15 mins",1381.927,1246.23792503956,104.259219984492
"Faust, AB T0G, Canada",55.31817,-115.637712,"Saint-Félix-de-Valois, QC J0K, Canada",46.1740366,-73.3997444,"1 day 17 hours",3864.769,3094.424038785,94.2486106406904
"Cadomin, AB T0E, Canada",53.0324813,-117.3268223,"Long Harbour-Mount Arlington Heights, NL, Canada",47.4317032,-53.815488,"3 days 0 hours",6312.765,4423.20513744921,87.4159207616117
"Grimshaw, AB T0H, Canada",56.1893767,-117.6105042,"Mary's Harbour, NL, Canada",52.3054507,-55.8373376,"2 days 21 hours",6073.327,3913.23001108299,88.3057634676123
"Nisku, AB, Canada",53.3377723,-113.5240013,"Sainte-Anne-de-Bellevue, QC, Canada",45.4032673,-73.9504015,"1 day 14 hours",3611.298,2963.3673713397,95.9848853778286
"Rosalind, AB T0B, Canada",52.7874933,-112.4404529,"Colombier, QC, Canada",48.8542939,-68.9369297,"1 day 17 hours",3886.953,3048.73724223237,93.7374366119816
"Chateh, AB T0H, Canada",58.707471,-118.693053,"Watford, ON, Canada",42.9555663,-81.879921,"1 day 15 hours",4047.703,3069.78394328925,105.009374054163
"Canmore, AB, Canada",51.0749582,-115.3591374,"Port Dover, ON, Canada",42.7865022,-80.2033046,"1 day 8 hours",3433.163,2800.02776960961,105.775915101202
"Sylvan Lake, AB, Canada",52.3076936,-114.0980214,"Pontiac, QC, Canada",45.5635445,-76.108123,"1 day 12 hours",3484.505,2846.49803154912,96.1110191697697
"Vermilion, AB, Canada",53.3540163,-110.8586881,"Glaslyn, SK S0M, Canada",53.3604107,-108.3553203,"2 hours 5 mins",194.412,166.671723186155,93.6799892919288
"Ponoka, AB, Canada",52.6758713,-113.5832633,"Dubuisson, Val-d'Or, QC, Canada",48.1468909,-77.959725,"1 day 8 hours",3047.843,2554.27093265122,95.1468084183873
"Niton Junction, AB T0E, Canada",53.6171642,-115.7696143,"Atlin, BC V0W, Canada",59.577636,-133.6891954,"1 day 0 hours",1906.05,1279.3136572617,78.924558033609
"Hussar, AB T0J, Canada",51.0410825,-112.6813763,"Armstrong, BC V0E, Canada",50.4476707,-119.1969832,"7 hours 9 mins",648.767,464.444404248438,90.6450826670807
"Etzikom, AB T0K, Canada",49.4787939,-111.1045186,"Hull, Gatineau, QC, Canada",45.4287295,-75.7133457,"1 day 9 hours",3124.261,2680.99887488742,94.7607218683652
"Morley, AB T0L, Canada",51.1618289,-114.8513984,"Williams Lake, BC, Canada",52.1418692,-122.1413196,"9 hours 22 mins",790.018,515.940740979703,84.3210530997065
"Andrew, AB T0B, Canada",53.879767,-112.3351752,"Portage-du-Fort, QC, Canada",45.593267,-76.6599724,"1 day 11 hours",3315.976,2697.81431810466,95.7782488346157
"Marwayne, AB T0B, Canada",53.5168861,-110.3314212,"Clinton, BC V0K, Canada",51.0927526,-121.5864344,"11 hours 25 mins",1121.055,812.663935839887,98.1683247792562
"Vulcan, AB T0L, Canada",50.4031726,-113.2612476,"Hickman's Harbour, NL A0C, Canada",48.1023547,-53.7308945,"2 days 20 hours",5902.093,4223.93520843181,86.9151356237958
"Keephills, AB T0E, Canada",53.4417861,-114.348653,"650 Rue du Domaine, SAINTE-AGATHE-SUD, QC J8C 3C9, Canada",46.0448699,-74.2551324,"1 day 13 hours",3532.445,2961.00463618917,94.7438367492904
"Hanna, AB T0J, Canada",51.643904,-111.9286419,"Sanmaur, La Tuque, QC G0X, Canada",47.8947525,-73.7941959,"1 day 16 hours",3546.686,2746.41556860989,88.0842038453844
"Okotoks, AB, Canada",50.7254937,-113.9749106,"Fair Haven, NL A0B, Canada",47.5342216,-53.8997127,"2 days 21 hours",6014.168,4276.87429074924,87.3817164766421
